TF	DF	WORD
9	8	seat
9	8	elearn
9	8	mufc
9	8	cannabi
9	8	habit
9	7	commerci
9	7	strength
9	7	lie
9	7	leed
9	7	decis
9	7	montreal
9	7	bead
9	7	maker
9	7	maga
9	7	cartoon
9	7	prioriti
9	7	toy
9	7	icon
9	6	deeplearn
9	6	freedom
9	6	infosec
9	6	watercolor
9	5	gdpr
9	5	climatechang
9	5	medicatedoil
9	5	northcoastcottag
9	5	nhl
9	4	medit
9	4	bloggersuk
9	3	littl3zion
9	3	menstoy
8	8	ml
8	8	transfer
8	8	sweet
8	8	effort
8	8	reward
8	8	suit
8	8	maryland
8	8	poor
8	8	valley
8	8	ensur
8	8	eagl
8	8	respect
8	8	core
8	8	invit
8	8	st
8	8	depart
8	8	guess
8	8	recap
8	8	annemariayr
8	8	onlinegloballyearth
8	8	climateenvironmentdemocracyequalityfeminismhumanrightsthoughtleadermetoofbffifbleadership
8	8	hyderabadindia
8	8	outsid
8	8	fake
8	8	agenc
8	8	harri
8	8	upcom
8	8	15th
8	8	fresh
8	8	higher
8	8	evolv
8	8	dollar
8	8	brooklynni
8	8	hidden
8	8	mi
8	8	defens
8	8	brisban
8	8	albuquerquenm
8	8	suggest
8	8	portlandor
8	8	gorgeou
8	8	central
8	8	chuckdalldorf
8	8	communicationconsultantuniversitylecturerlovescotlandfridayharborwaresidentuscoastguardauxiliarykayakerbrooklynnativeusafveteran
8	8	suppli
8	8	kelli
8	8	scott
8	8	recogn
8	8	torontocanada
8	8	summit
8	8	british
8	8	statement
8	8	partnership
8	8	cash
8	8	agre
8	8	turkey
8	8	morocco
8	8	preview
8	8	nick
8	8	phoenixaz
8	8	probabl
8	8	react
8	8	michael
8	8	option
8	8	welfar
8	8	daytonohio
8	8	fix
8	8	skin
8	8	leisur
8	8	drug
8	8	feder
8	8	tom
8	8	attract
8	8	centralamerica
8	8	odd
8	8	singl
8	8	utc
8	8	understand
8	8	golden
8	8	caribbean
8	8	batteri
8	8	hurt
8	8	wave
8	8	memphistennesse
8	8	arm
8	8	buffaloni
8	8	artifici
8	8	psycholog
8	8	infograph
8	8	surviv
8	8	strateg
8	8	went
8	8	societi
8	8	regim
8	8	ian
8	8	overal
8	8	colorado
8	8	seattlewa
8	8	former
8	8	involv
8	8	altern
8	8	intens
8	7	renew
8	7	hat
8	7	karachi
8	7	reform
8	7	republican
8	7	germani
8	7	onc
8	7	emot
8	7	programm
8	7	journal
8	7	thursday
8	7	bird
8	7	entir
8	7	groceri
8	7	medicin
8	7	hospit
8	7	titan
8	7	ford
8	7	blend
8	7	retir
8	7	brighton
8	7	skate
8	7	consult
8	7	imposs
8	7	ff
8	7	restaur
8	7	capit
8	7	balanc
8	7	ancient
8	7	map
8	7	embrac
8	7	istanbul
8	6	clear
8	6	socialmediamarket
8	6	tie
8	6	region
8	6	cobbcounti
8	6	nh
8	6	epic
8	6	assess
8	6	grind
8	6	religion
8	6	electron
8	6	artificialintellig
8	6	pink
8	6	pragu
8	6	transport
8	6	fakenew
8	5	martinlutherkingjr
8	5	flower
8	5	cbc
8	4	millenni
8	4	knotwe
8	4	cheapflight
8	4	freebet
8	4	shthole
8	4	blackfriday
