TF	DF	WORD
11	10	claim
11	10	war
11	10	ride
11	10	equal
11	10	tshirt
11	10	summer
11	10	seattl
11	9	youll
11	9	ico
11	9	propos
11	9	veteran
11	9	turquois
11	8	flu
11	8	ice
11	7	bracelet
10	10	air
10	10	famou
10	10	pic
10	10	passion
10	10	purchas
10	10	tenni
10	10	brought
10	10	dark
10	10	chines
10	10	14
10	10	cut
10	10	potenti
10	10	shock
10	10	term
10	10	categori
10	10	field
10	10	worker
10	10	choos
10	10	ye
10	10	current
10	10	concern
10	10	mp
10	10	classroom
10	10	80
10	10	hike
10	10	engag
10	10	among
10	10	founder
10	10	simpl
10	10	finish
10	10	soon
10	10	mondayblog
10	10	greatest
10	10	foodi
10	10	resourc
10	10	kick
10	10	piec
10	10	theyr
10	10	poetri
10	10	rank
10	10	cute
10	10	rest
10	10	2nd
10	10	keynot
10	10	act
10	10	congratul
10	10	respons
10	10	careerarc
10	10	investor
10	10	fox
10	10	street
10	10	daca
10	10	limit
10	10	ccmtt
10	10	venu
10	10	giftidea
10	10	lake
10	10	stage
10	10	integr
10	10	minist
10	10	within
10	10	analysi
10	9	answer
10	9	weekli
10	9	fall
10	9	didnt
10	9	produc
10	9	cost
10	9	devic
10	9	buzz
10	9	shirt
10	9	ce
10	9	speed
10	9	incom
10	9	anyth
10	9	portrait
10	9	ring
10	9	studio
10	9	page
10	9	control
10	9	donald
10	9	martial
10	9	realiti
10	8	outdoor
10	8	rose
10	8	address
10	7	transit
10	5	indiegam
10	5	femalewrestl
9	9	annual
9	9	english
9	9	fabul
9	9	po
9	9	plant
9	9	ban
9	9	greec
9	9	heal
9	9	survey
9	9	martinlutherk
9	9	britain
9	9	return
9	9	extract
9	9	convers
9	9	backpack
9	9	primari
9	9	polici
9	9	half
9	9	sponsor
9	9	engin
9	9	giant
9	9	colour
9	9	eye
9	9	town
9	9	valentin
9	9	tune
9	9	guest
9	9	shithol
9	9	form
9	9	relationship
9	9	uniqu
9	9	arriv
9	9	smile
9	9	rang
9	9	ontario
9	9	academi
9	9	ampcraft
9	9	individu
9	9	whole
9	9	decemb
9	9	fair
9	9	approach
9	9	cycl
9	9	ireland
9	9	obama
9	9	frizemedia
9	9	hair
9	9	optim
9	9	process
9	9	concept
9	9	fill
9	9	dj
9	9	hiphopmus
9	9	trailer
9	9	opinion
9	9	romanc
9	9	feedli
9	9	civil
9	9	author
9	9	jeremi
9	9	board
9	9	tonight
9	9	90
9	9	playoff
9	9	late
9	9	getwok
9	9	jame
9	9	hawaii
9	9	sometim
9	9	hold
9	9	camera
9	9	harass
9	9	aliv
9	9	al
9	9	wrong
9	9	leagu
9	9	datasci
9	9	marijuana
9	9	machin
9	9	modern
9	9	deadlin
9	9	energi
9	9	master
9	9	indian
9	9	gather
9	9	confirm
9	9	e
9	9	main
9	9	wrote
9	9	display
9	9	figur
9	8	score
9	8	origin
9	8	remain
9	8	drone
9	8	hack
9	8	landscap
9	8	sme
9	8	linkedin
9	8	breath
9	8	donat
9	8	sugar
9	8	bit
9	8	song
9	8	tourist
9	8	credit
9	8	web
9	8	roll
9	8	campaign
9	8	giveaway
9	8	beer
9	8	woman
9	8	christma
9	8	seat
9	8	crochet
9	7	christian
9	7	lie
9	7	camp
9	7	boot
9	7	bead
9	7	thailand
9	6	nike
9	6	coupon
9	6	domain
8	8	ml
8	8	comic
8	8	transfer
8	8	sweet
8	8	effort
8	8	reward
8	8	childcar
8	8	suit
8	8	insur
8	8	histor
8	8	sky
8	8	poor
8	8	valley
8	8	bill
8	8	ensur
8	8	eagl
8	8	respect
8	8	diabet
8	8	core
8	8	invit
8	8	st
8	8	depart
8	8	recap
8	8	outsid
8	8	fake
8	8	agenc
8	8	mark
8	8	virtualr
8	8	upcom
8	8	15th
8	8	mirror
8	8	airlin
8	8	fresh
8	8	higher
8	8	dollar
8	8	hidden
8	8	android
8	8	defens
8	8	internetofth
8	8	forest
8	8	suggest
8	8	gorgeou
8	8	mentalhealth
8	8	polic
8	8	metal
8	8	donaldtrump
8	8	central
8	8	lunch
8	8	suppli
8	8	relax
8	8	obes
8	8	recogn
8	8	digitaltransform
8	8	congress
8	8	math
8	8	summit
8	8	growthhack
8	8	british
8	8	statement
8	8	olymp
8	8	partnership
8	8	atlanta
8	8	cash
8	8	agre
8	8	preview
8	8	na
8	8	nick
8	8	nigeria
8	8	probabl
8	8	react
8	8	michael
8	8	option
8	8	metoo
8	8	welfar
8	8	fix
8	8	skin
8	8	leisur
8	8	progress
8	8	bargain
8	8	magic
8	8	stem
8	8	drug
8	8	machinelearn
8	8	feder
8	8	tom
8	8	attract
8	8	transact
8	8	odd
8	8	understand
8	8	philippin
8	8	profit
8	8	golden
8	8	caribbean
8	8	batteri
8	8	hurt
8	8	legal
8	8	wave
8	8	smallbusi
8	8	arm
8	8	artifici
8	8	mufc
8	8	psycholog
8	8	infograph
8	8	realest
8	8	surviv
8	8	strateg
8	8	went
8	8	societi
8	8	regim
8	8	ian
8	8	cannabi
8	8	overal
8	8	former
8	8	involv
8	8	altern
8	8	habit
8	8	intens
8	7	renew
8	7	hat
8	7	commerci
8	7	onc
8	7	programm
8	7	journal
8	7	bird
8	7	houston
8	7	groceri
8	7	hospit
8	7	blend
8	7	dental
8	7	restaur
8	7	dubai
8	7	balanc
8	7	netflix
8	7	elearn
8	7	embrac
8	7	toy
8	7	icon
8	6	detroit
8	6	tie
8	6	assess
8	6	watercolor
8	6	russia
8	4	shthole
7	7	guarante
7	7	often
7	7	catch
7	7	sever
7	7	gear
7	7	highest
7	7	budget
7	7	spiritu
7	7	dedic
7	7	total
7	7	zero
7	7	reform
7	7	republican
7	7	r
7	7	washington
7	7	joy
7	7	rather
7	7	strength
7	7	west
7	7	27th
7	7	alleg
7	7	hate
7	7	spring
7	7	patient
7	7	ylive
7	7	politician
7	7	load
7	7	purpos
7	7	guess
7	7	emot
7	7	thursday
7	7	enabl
7	7	entir
7	7	fat
7	7	applic
7	7	graduat
7	7	damag
7	7	harri
7	7	standard
7	7	cast
7	7	advanc
7	7	homedecor
7	7	newyork
7	7	truli
7	7	push
